word,special_word,group,query_type,raw_word,category,strength,row_id,source,normalized_key,decision,use_in_high_precision_lexicon,confidence,recommended_form,reason,duplicate_of
to be more specific,True,more_specific,special_word,,,,,,,,,,,,
"more specifically,",False,more_specific,manual,,,,,,,,,,,,
"to be more precise,",False,more_specific,manual,,,,,,,,,,,,
"more concretely,",False,more_specific,manual,,,,,,,,,,,,
"more distinctly,",False,more_specific,manual,,,,,,,,,,,,
"as an instance,",False,more_specific,manual,,,,,,,,,,,,
"to provide an instance,",False,more_specific,manual,,,,,,,,,,,,
A relevant case is,False,more_specific,manual,,,,,,,,,,,,
"for example,",False,more_specific,manual,,,,,,,,,,,,
"for examples,",False,more_specific,manual,,,,,,,,,,,,
"as an example,",False,more_specific,manual,,,,,,,,,,,,
focusing on this issue,False,more_specific,manual,,,,,,,,,,,,
"as an example of this,",False,more_specific,manual,,,,,,,,,,,,
"just as an example,",False,more_specific,manual,,,,,,,,,,,,
a typical example is,False,more_specific,manual,,,,,,,,,,,,
a well-known example is,False,more_specific,manual,,,,,,,,,,,,
"as an example application,",False,more_specific,manual,,,,,,,,,,,,
"as an example of application,",False,more_specific,manual,,,,,,,,,,,,
"as an example use case,",False,more_specific,manual,,,,,,,,,,,,
"take as an example,",False,more_specific,manual,,,,,,,,,,,,
"consider as an example,",False,more_specific,manual,,,,,,,,,,,,
"taking facebook as an example,",False,more_specific,manual,,,,,,,,,,,,
"taking as an example,",False,more_specific,manual,,,,,,,,,,,,
"as one example,",False,more_specific,manual,,,,,,,,,,,,
"as a simple example,",False,more_specific,manual,,,,,,,,,,,,
a simple example is,False,more_specific,manual,,,,,,,,,,,,
"as a concrete example,",False,more_specific,manual,,,,,,,,,,,,
"as a motivating example,",False,more_specific,manual,,,,,,,,,,,,
"to give an example,",False,more_specific,manual,,,,,,,,,,,,
"for an example,",False,more_specific,manual,,,,,,,,,,,,
"as an extreme example,",False,more_specific,manual,,,,,,,,,,,,
"as an illustrative example,",False,more_specific,manual,,,,,,,,,,,,
"especially,",False,more_specific,manual,,,,,,,,,,,,
"more uniquely,",False,more_specific,manual,,,,,,,,,,,,
An example of this can be observed in,False,more_specific,manual,,,,,,,,,,,,
A practical example would be,False,more_specific,manual,,,,,,,,,,,,
This is evident in the example of,False,more_specific,manual,,,,,,,,,,,,
an example of this,False,more_specific,manual,,,,,,,,,,,,
an example of those,False,more_specific,manual,,,,,,,,,,,,
an example of that,False,more_specific,manual,,,,,,,,,,,,
an example of these,False,more_specific,manual,,,,,,,,,,,,
A tangible example of this would be,False,more_specific,manual,,,,,,,,,,,,
"to provide a more concrete example,",False,more_specific,manual,,,,,,,,,,,,
zooming in,True,more_specific,special_word,,,,,,,,,,,,
this can be generalized to,False,more_specific,manual,,,,,,,,,,,,
"as a canonical example,",False,more_specific,manual,,,,,,,,,,,,
a canonical example is,False,more_specific,manual,,,,,,,,,,,,
"as a case in point,",False,more_specific,manual,,,,,,,,,,,,
"as a classic example,",False,more_specific,manual,,,,,,,,,,,,
a case in point is,False,more_specific,manual,,,,,,,,,,,,
a common example is,False,more_specific,manual,,,,,,,,,,,,
a concrete instance of this is,False,more_specific,manual,,,,,,,,,,,,
a notable example is,False,more_specific,manual,,,,,,,,,,,,
a particular instance is,False,more_specific,manual,,,,,,,,,,,,
a prominent example is,False,more_specific,manual,,,,,,,,,,,,
"as a prominent example,",False,more_specific,manual,,,,,,,,,,,,
a representative example is,False,more_specific,manual,,,,,,,,,,,,
"as a representative example,",False,more_specific,manual,,,,,,,,,,,,
"as a particular example,",False,more_specific,manual,,,,,,,,,,,,
"as an illustration,",False,more_specific,manual,,,,,,,,,,,,
by specifying that,False,more_specific,manual,,,,,,,,,,,,
by specifying these,False,more_specific,manual,,,,,,,,,,,,
to address,True,Solving_problems_improvements_mitigation,special_word,,,,,,,,,,,,
to address this problem,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible solution is,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to overcome this problem,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible fix is,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible way of solving this,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible way of solving those,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible way of solving that,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible way of solving these,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
a possible mitiagtion is,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this problem,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this risk,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this issue,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this effect,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these limitations,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this limitation,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this threat,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this bias,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these differences,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these concerns,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this possibility,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these issues,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these bias problems,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate against these effects,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate against these potential limitations and biases,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate the limitations of this approach,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To address these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To address those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To alleviate these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To alleviate those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To mitigate these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To mitigate those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To relieve these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To relieve those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To counteract these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To counteract those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To care for these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To care for those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To combat these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To combat those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To attend to those symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
To attend to these symptoms,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to treat those symptoms,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to treat these symptoms,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to treat this disease,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"mitigating this point,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"mitigating these points,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"mitigating those points,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
to shed light on,True,Solving_problems_improvements_mitigation,special_word,,,,,,,,,,,,
to shed some light on,True,Solving_problems_improvements_mitigation,special_word,,,,,,,,,,,,
"to mitigate against these potential limitations,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
to overcome this,True,Solving_problems_improvements_mitigation,special_word,,,,,,,,,,,,
"As a result,",False,common_irrelevant,manual,,,,,,,,,,,,
"consequently,",False,common_irrelevant,manual,,,,,,,,,,,,
"as a consequence,",False,common_irrelevant,manual,,,,,,,,,,,,
To improve upon,True,Solving_problems_improvements_mitigation,special_word,,,,,,,,,,,,
"to address these issues,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
to solve this problem,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
to address this issue,False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to overcome these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to address this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to address these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to avoid this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to avoid these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to alleviate this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to alleviate these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to overcome the drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to overcome such a drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to overcome the drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to remedy this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to mitigate these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to deal with this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to solve this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to solve these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to solve those drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to remedy these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to compensate for this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to tackle this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to cope with this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to eliminate these drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to avoid such drawbacks,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to resolve this drawback,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to achieve this mission,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"to achieve this goal,",False,Solving_problems_improvements_mitigation,manual,,,,,,,,,,,,
"however,",False,common_irrelevant,manual,,,,,,,,,,,,
"therefore,",False,common_irrelevant,manual,,,,,,,,,,,,
"moreover,",False,common_irrelevant,manual,,,,,,,,,,,,
"thus,",False,common_irrelevant,manual,,,,,,,,,,,,
"furthermore,",False,common_irrelevant,manual,,,,,,,,,,,,
"in addition,",False,common_irrelevant,manual,,,,,,,,,,,,
"unfortunately,",False,BLACKLIST,manual,,,,,,,,,,,,
"hence,",False,BLACKLIST,manual,,,,,,,,,,,,
nevertheless,False,common_irrelevant,manual,,,,,,,,,,,,
"nevertheless,",False,common_irrelevant,manual,,,,,,,,,,,,
"also,",False,BLACKLIST,manual,,,,,,,,,,,,
"indeed,",False,BLACKLIST,manual,,,,,,,,,,,,
"in fact,",False,BLACKLIST,manual,,,,,,,,,,,,
"secondly,",False,BLACKLIST,manual,,,,,,,,,,,,
"in section 2,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this regard,",False,BLACKLIST,manual,,,,,,,,,,,,
"formally,",False,BLACKLIST,manual,,,,,,,,,,,,
"later,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the following,",False,BLACKLIST,manual,,,,,,,,,,,,
"afterwards,",False,BLACKLIST,manual,,,,,,,,,,,,
"in our case,",False,BLACKLIST,manual,,,,,,,,,,,,
"in our experiments,",False,BLACKLIST,manual,,,,,,,,,,,,
"without loss of generality,",False,BLACKLIST,manual,,,,,,,,,,,,
"during training,",False,BLACKLIST,manual,,,,,,,,,,,,
"third,",False,BLACKLIST,manual,,,,,,,,,,,,
"initially,",False,BLACKLIST,manual,,,,,,,,,,,,
"for this purpose,",False,common_irrelevant,manual,,,,,,,,,,,,
"among them,",False,BLACKLIST,manual,,,,,,,,,,,,
additionally,False,BLACKLIST,manual,,,,,,,,,,,,
"additionally,",False,common_irrelevant,manual,,,,,,,,,,,,
"in this paper,",False,BLACKLIST,manual,,,,,,,,,,,,
"in general,",False,common_irrelevant,manual,,,,,,,,,,,,
"further,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this case,",False,BLACKLIST,manual,,,,,,,,,,,,
"recently,",False,BLACKLIST,manual,,,,,,,,,,,,
"in practice,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the future,",False,BLACKLIST,manual,,,,,,,,,,,,
"besides,",False,BLACKLIST,manual,,,,,,,,,,,,
"here,",False,BLACKLIST,manual,,,,,,,,,,,,
"that is,",False,common_irrelevant,manual,,,,,,,,,,,,
"currently,",False,BLACKLIST,manual,,,,,,,,,,,,
"of course,",False,BLACKLIST,manual,,,,,,,,,,,,
"overall,",False,BLACKLIST,manual,,,,,,,,,,,,
"yet,",False,BLACKLIST,manual,,,,,,,,,,,,
"as such,",False,BLACKLIST,manual,,,,,,,,,,,,
"in summary,",False,BLACKLIST,manual,,,,,,,,,,,,
"nonetheless,",False,BLACKLIST,manual,,,,,,,,,,,,
"at the same time,",False,BLACKLIST,manual,,,,,,,,,,,,
"clearly,",False,BLACKLIST,manual,,,,,,,,,,,,
"interestingly,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this section,",False,BLACKLIST,manual,,,,,,,,,,,,
"then,",False,BLACKLIST,manual,,,,,,,,,,,,
"for this reason,",False,BLACKLIST,manual,,,,,,,,,,,,
"obviously,",False,BLACKLIST,manual,,,,,,,,,,,,
"meanwhile,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this work,",False,BLACKLIST,manual,,,,,,,,,,,,
"generally,",False,BLACKLIST,manual,,,,,,,,,,,,
"in future work,",False,BLACKLIST,manual,,,,,,,,,,,,
"accordingly,",False,BLACKLIST,manual,,,,,,,,,,,,
"still,",False,BLACKLIST,manual,,,,,,,,,,,,
"but,",False,BLACKLIST,manual,,,,,,,,,,,,
"on the one hand,",False,BLACKLIST,manual,,,,,,,,,,,,
"again,",False,BLACKLIST,manual,,,,,,,,,,,,
"in conclusion,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this context,",False,BLACKLIST,manual,,,,,,,,,,,,
"in recent years,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this study,",False,BLACKLIST,manual,,,,,,,,,,,,
"typically,",False,BLACKLIST,manual,,,,,,,,,,,,
"this,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"ideally,",False,BLACKLIST,manual,,,,,,,,,,,,
"to this end,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this way,",False,BLACKLIST,manual,,,,,,,,,,,,
"at present,",False,BLACKLIST,manual,,,,,,,,,,,,
"so far,",False,BLACKLIST,manual,,,,,,,,,,,,
"more importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"in some cases,",False,BLACKLIST,manual,,,,,,,,,,,,
"otherwise,",False,BLACKLIST,manual,,,,,,,,,,,,
"actually,",False,BLACKLIST,manual,,,,,,,,,,,,
"rather,",False,BLACKLIST,manual,,,,,,,,,,,,
"intuitively,",False,BLACKLIST,manual,,,,,,,,,,,,
"next,",False,BLACKLIST,manual,,,,,,,,,,,,
"importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"in such cases,",False,BLACKLIST,manual,,,,,,,,,,,,
"first of all,",False,BLACKLIST,manual,,,,,,,,,,,,
"as future work,",False,BLACKLIST,manual,,,,,,,,,,,,
"traditionally,",False,BLACKLIST,manual,,,,,,,,,,,,
"more recently,",False,BLACKLIST,manual,,,,,,,,,,,,
"fortunately,",False,BLACKLIST,manual,,,,,,,,,,,,
"nowadays,",False,BLACKLIST,manual,,,,,,,,,,,,
"although,",False,BLACKLIST,manual,,,,,,,,,,,,
"in principle,",False,BLACKLIST,manual,,,,,,,,,,,,
"to our knowledge,",False,BLACKLIST,manual,,,,,,,,,,,,
"notably,",False,BLACKLIST,manual,,,,,,,,,,,,
"usually,",False,BLACKLIST,manual,,,,,,,,,,,,
"to date,",False,BLACKLIST,manual,,,,,,,,,,,,
"as expected,",False,BLACKLIST,manual,,,,,,,,,,,,
in this regard,False,BLACKLIST,manual,,,,,,,,,,,,
on one hand,False,BLACKLIST,manual,,,,,,,,,,,,
ultimately,False,BLACKLIST,manual,,,,,,,,,,,,
for future work,False,BLACKLIST,manual,,,,,,,,,,,,
in this sense,False,BLACKLIST,manual,,,,,,,,,,,,
today,False,BLACKLIST,manual,,,,,,,,,,,,
in short,False,BLACKLIST,manual,,,,,,,,,,,,
often,False,BLACKLIST,manual,,,,,,,,,,,,
surprisingly,False,BLACKLIST,manual,,,,,,,,,,,,
note that,False,BLACKLIST,manual,,,,,,,,,,,,
"note that,",False,BLACKLIST,manual,,,,,,,,,,,,
"in many cases,",False,BLACKLIST,manual,,,,,,,,,,,,
"in any case,",False,BLACKLIST,manual,,,,,,,,,,,,
"in these cases,",False,BLACKLIST,manual,,,,,,,,,,,,
"now,",False,BLACKLIST,manual,,,,,,,,,,,,
"in future,",False,BLACKLIST,manual,,,,,,,,,,,,
"namely,",False,BLACKLIST,manual,,,,,,,,,,,,
"in reality,",False,BLACKLIST,manual,,,,,,,,,,,,
"taken together,",False,BLACKLIST,manual,,,,,,,,,,,,
"for these reasons,",False,BLACKLIST,manual,,,,,,,,,,,,
naturally,False,BLACKLIST,manual,,,,,,,,,,,,
as mentioned above,False,BLACKLIST,manual,,,,,,,,,,,,
especially,False,BLACKLIST,manual,,,,,,,,,,,,
note,False,BLACKLIST,manual,,,,,,,,,,,,
in that case,False,BLACKLIST,manual,,,,,,,,,,,,
it is,False,BLACKLIST,manual,,,,,,,,,,,,
in this article,False,BLACKLIST,manual,,,,,,,,,,,,
in sum,False,BLACKLIST,manual,,,,,,,,,,,,
in most cases,False,BLACKLIST,manual,,,,,,,,,,,,
in both cases,False,BLACKLIST,manual,,,,,,,,,,,,
in this respect,False,BLACKLIST,manual,,,,,,,,,,,,
in the following,False,BLACKLIST,manual,,,,,,,,,,,,
"subsequently,",False,BLACKLIST,manual,,,,,,,,,,,,
in our case,False,BLACKLIST,manual,,,,,,,,,,,,
as mentioned earlier,False,BLACKLIST,manual,,,,,,,,,,,,
to summarize,False,BLACKLIST,manual,,,,,,,,,,,,
in this situation,False,BLACKLIST,manual,,,,,,,,,,,,
and,False,BLACKLIST,manual,,,,,,,,,,,,
generally speaking,False,BLACKLIST,manual,,,,,,,,,,,,
in such a case,False,BLACKLIST,manual,,,,,,,,,,,,
theoretically,False,BLACKLIST,manual,,,,,,,,,,,,
in our future work,False,BLACKLIST,manual,,,,,,,,,,,,
most importantly,False,BLACKLIST,manual,,,,,,,,,,,,
as a matter of fact,False,BLACKLIST,manual,,,,,,,,,,,,
in turn,False,BLACKLIST,manual,,,,,,,,,,,,
certainly,False,BLACKLIST,manual,,,,,,,,,,,,
because of this,False,BLACKLIST,manual,,,,,,,,,,,,
in this scenario,False,BLACKLIST,manual,,,,,,,,,,,,
at this point,False,BLACKLIST,manual,,,,,,,,,,,,
in our experiments,False,BLACKLIST,manual,,,,,,,,,,,,
to conclude,False,BLACKLIST,manual,,,,,,,,,,,,
apparently,False,BLACKLIST,manual,,,,,,,,,,,,
in theory,False,BLACKLIST,manual,,,,,,,,,,,,
sometimes,False,BLACKLIST,manual,,,,,,,,,,,,
together,False,BLACKLIST,manual,,,,,,,,,,,,
in the past,False,BLACKLIST,manual,,,,,,,,,,,,
in comparison,False,BLACKLIST,manual,,,,,,,,,,,,
in the literature,False,BLACKLIST,manual,,,,,,,,,,,,
there are,False,BLACKLIST,manual,,,,,,,,,,,,
after all,False,BLACKLIST,manual,,,,,,,,,,,,
despite this,False,BLACKLIST,manual,,,,,,,,,,,,
this is because,False,BLACKLIST,manual,,,,,,,,,,,,
even so,False,BLACKLIST,manual,,,,,,,,,,,,
as can be seen,False,BLACKLIST,manual,,,,,,,,,,,,
eventually,False,BLACKLIST,manual,,,,,,,,,,,,
last but not least,False,BLACKLIST,manual,,,,,,,,,,,,
last,False,BLACKLIST,manual,,,,,,,,,,,,
as a future work,False,BLACKLIST,manual,,,,,,,,,,,,
for this purpose,False,BLACKLIST,manual,,,,,,,,,,,,
essentially,False,BLACKLIST,manual,,,,,,,,,,,,
as mentioned before,False,BLACKLIST,manual,,,,,,,,,,,,
if so,False,BLACKLIST,manual,,,,,,,,,,,,
among them,False,BLACKLIST,manual,,,,,,,,,,,,
in essence,False,BLACKLIST,manual,,,,,,,,,,,,
not surprisingly,False,BLACKLIST,manual,,,,,,,,,,,,
there is,False,BLACKLIST,manual,,,,,,,,,,,,
later,False,BLACKLIST,manual,,,,,,,,,,,,
in the next section,False,BLACKLIST,manual,,,,,,,,,,,,
since,False,BLACKLIST,manual,,,,,,,,,,,,
in our opinion,False,BLACKLIST,manual,,,,,,,,,,,,
initially,False,BLACKLIST,manual,,,,,,,,,,,,
on the other side,False,BLACKLIST,manual,,,,,,,,,,,,
as discussed above,False,BLACKLIST,manual,,,,,,,,,,,,
this approach,False,BLACKLIST,manual,,,,,,,,,,,,
in our study,False,BLACKLIST,manual,,,,,,,,,,,,
basically,False,BLACKLIST,manual,,,,,,,,,,,,
that said,False,BLACKLIST,manual,,,,,,,,,,,,
this way,False,BLACKLIST,manual,,,,,,,,,,,,
previously,False,BLACKLIST,manual,,,,,,,,,,,,
this is,False,BLACKLIST,manual,,,,,,,,,,,,
historically,False,BLACKLIST,manual,,,,,,,,,,,,
to sum up,False,BLACKLIST,manual,,,,,,,,,,,,
thereby,False,BLACKLIST,manual,,,,,,,,,,,,
arguably,False,BLACKLIST,manual,,,,,,,,,,,,
until now,False,BLACKLIST,manual,,,,,,,,,,,,
age,False,BLACKLIST,manual,,,,,,,,,,,,
in figure 14,False,BLACKLIST,manual,,,,,,,,,,,,
"and lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly and most importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"third and lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly but not the least,",False,BLACKLIST,manual,,,,,,,,,,,,
"thirdly and lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly and perhaps most importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly and arguably most importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"8 lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"lastly but importantly,",False,BLACKLIST,manual,,,,,,,,,,,,
"4 lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"7 lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"10 lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"1 lastly,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the present study,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the future work,",False,BLACKLIST,manual,,,,,,,,,,,,
"evidently,",False,BLACKLIST,manual,,,,,,,,,,,,
"in doing so,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the near future,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the latter case,",False,BLACKLIST,manual,,,,,,,,,,,,
"on average,",False,BLACKLIST,manual,,,,,,,,,,,,
"normally,",False,BLACKLIST,manual,,,,,,,,,,,,
"in either case,",False,BLACKLIST,manual,,,,,,,,,,,,
"in section 4,",False,BLACKLIST,manual,,,,,,,,,,,,
"even worse,",False,BLACKLIST,manual,,,,,,,,,,,,
"in this example,",False,BLACKLIST,manual,,,,,,,,,,,,
"in consequence,",False,common_irrelevant,manual,,,,,,,,,,,,
"for this,",False,BLACKLIST,manual,,,,,,,,,,,,
"in addition to this,",False,BLACKLIST,manual,,,,,,,,,,,,
"in other cases,",False,BLACKLIST,manual,,,,,,,,,,,,
"that is to say,",False,BLACKLIST,manual,,,,,,,,,,,,
"while,",False,BLACKLIST,manual,,,,,,,,,,,,
"in the worst case,",False,BLACKLIST,manual,,,,,,,,,,,,
"in our work,",False,BLACKLIST,manual,,,,,,,,,,,,
